Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,PesoCargaYCorreo
0EC,SAE,01-dic-21 00:00:00,2021,12,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,8,90
0EC,SAE,01-dic-21 00:00:00,2021,12,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,2,42
0EC,SAE,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,0,0
0EC,SAE,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,CRU,CARURU,CARURU,COLOMBIA,N,T,15,292
0EC,SAE,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,53,450
0EC,SAE,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,T,0,0
0EC,SAE,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,1,0
0EC,SAE,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,12,90
0EC,SAE,01-dic-21 00:00:00,2021,12,SRO,SANTA ROSALIA,SANTA ROSALIA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0,27
0EC,SAE,01-dic-21 00:00:00,2021,12,URM,URIBE,LA URIBE,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,2,15
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,0,45
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,A08,EL PLACER,CUMARIBO,COLOMBIA,N,T,0,36
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,A13,MIRITI PARANA,MIRITI-PARANA,COLOMBIA,N,T,0,36
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,ACR,ARARACUARA,ARARACUARA,COLOMBIA,N,T,2,60
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,N,T,1,27
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,GYM,GUAYMARAL,CHIA,COLOMBIA,N,T,1,45
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,T,9,129
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,N,T,9,
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,2,106
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,N,T,3,90
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,0,10
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,SRO,SANTA ROSALIA,SANTA ROSALIA,COLOMBIA,N,T,0,36
0EC,SAE,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,URM,URIBE,LA URIBE,COLOMBIA,N,T,1,45
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,BSC,BAHIA SOLANO - JOSE C. MUTIS,BAHIA SOLANO,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,2,0
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,16,805
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,2,20
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,EBG,EL BAGRE,EL BAGRE,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,2,0
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,BSC,BAHIA SOLANO - JOSE C. MUTIS,BAHIA SOLANO,COLOMBIA,N,T,2,50
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,COLOMBIA,N,T,16,0
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,N,T,2,20
