CODIGOTX,MOTIVOCAPTURA,ATRIB
AB,D8,50000000.0
AB,D9,50000000.0
AC,D1,50000000.0
AC,D2,50000000.0
AC,D7,50000000.0
AC,D8,50000000.0
AF,Y6,10000.0
AH,D1,50000000.0
AH,D2,3000000.0
AN,Y6,50000000.0
AP,A9,12000000.0
AP,D1,50000000.0
AP,PA,50000000.0
AS,AS,50000000.0
AS,B8,12000000.0
AV,Y6,50000000.0
AW,9Q,50000000.0
AX,7A,50000000.0
AY,9P,50000000.0
BA,6J,5000000.0
BA,6O,50000000.0
BC,6J,50000000.0
BC,D1,40000000.0
BW,9S,50000000.0
BX,7B,50000000.0
BY,9R,50000000.0
CC,KK,1000.0
CE,CE,25000000.0
CF,Y6,10000.0
CH,1Z,1500000.0
CH,C3,12000000.0
CH,ZZ,5200000.0
CI,DI,14000000.0
CJ,D1,50000000.0
CJ,DK,15000000.0
CK,CK,50000000.0
CK,D1,50000000.0
CK,DK,15000000.0
CL,D1,50000000.0
CL,DZ,30000000.0
CM,CM,50000000.0
CM,D1,50000000.0
CN,Y6,50000000.0
CO,Y2,50000000.0
CO,Y5,50000000.0
CR,Y6,1300000.0
CS,CD,50000000.0
CS,CS,5000000.0
CS,P1,30000000.0
CS,PJ,50000000.0
CT,MA,3000000.0
CU,CU,8000000.0
D0,9S,50000000.0
D1,7B,50000000.0
D2,9R,35000000.0
DA,BA,50000000.0
DC,D4,1800000.0
DD,DD,50000000.0
DM,D1,100000.0
DM,DM,1500000.0
DN,D1,50000000.0
DN,DN,50000000.0
DS,DS,50000000.0
DU,DU,50000000.0
DV,C1,3000000.0
DW,DW,50000000.0
DX,D1,50000000.0
DX,D2,50000000.0
DX,DX,50000000.0
DY,6Z,50000000.0
DY,P2,50000000.0
E0,E0,50000000.0
E7,E7,10000.0
E8,E8,50000000.0
E9,E9,50000000.0
EA,EA,50000000.0
EB,EB,50000000.0
EC,EC,50000000.0
ED,ED,50000000.0
EJ,9A,50000000.0
ES,D1,50000000.0
ES,ES,50000000.0
F5,F5,33000000.0
F6,F6,42000000.0
F7,F7,30000000.0
F8,F8,42000000.0
FJ,FJ,23000000.0
FM,PL,50000000.0
FN,PL,50000000.0
FV,H2,50000000.0
FW,FW,50000000.0
FX,FX,4000000.0
GD,TG,50000000.0
GE,TG,50000000.0
GF,GF,50000000.0
GG,CC,50000000.0
GH,GH,50000000.0
GI,GI,50000000.0
GJ,GJ,50000000.0
GK,GK,50000000.0
GL,GL,50000000.0
GM,GM,50000000.0
GS,D1,1000000.0
GS,D2,200000.0
GU,GU,50000000.0
H6,H6,22000000.0
HA,HA,50000000.0
HB,HB,50000000.0
HC,HC,50000000.0
HD,HD,50000000.0
HG,HG,10000000.0
HH,HH,50000000.0
HM,HM,50000000.0
HN,HN,50000000.0
HP,N1,50000000.0
HP,N2,31000000.0
HP,N3,50000000.0
HQ,HQ,30000000.0
HR,HR,50000000.0
HS,HS,30000000.0
HT,HT,40000000.0
HU,DK,50000000.0
HU,HU,50000000.0
